Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date,avg_sentiment,num_headlines,price_change_pct,ma_7,ma_30,volatility,volume_change_pct,rsi,target
2023-08-08,177.205713919119,177.77769698523286,175.12488493894773,177.31419372558594,67823000,0.0,0.0,,0.0,0.0,0.5311588323831717,185.4642290387835,188.32976989746095,7.503933508850306,-30.492200446625763,23.418962132078477,0
2023-08-09,178.3693964131728,178.42856448196,174.56276182695083,175.72645568847656,60378500,0.0,0.0,,0.0,0.0,-0.8954376430612143,182.8917236328125,188.00531819661458,7.279707471944059,-10.976364949943228,23.715617083619748,0
2023-08-10,176.99860916334498,178.25105509162734,175.14461118800062,175.50949096679688,54686900,0.0,0.0,,0.0,0.0,-0.12346730651889848,180.40656389508928,187.63451639811197,6.177272445231,-9.426534279586274,24.55364364881754,1
2023-08-11,175.10462674008653,176.3883728930982,174.34424265962002,175.56874084472656,52036700,0.24,0.0,,0.0,0.0,0.033758788543747364,178.3567374093192,187.25451253255207,4.699038480836308,-4.846133169003908,22.434513316388532,1
2023-08-14,175.746520759633,177.44503302668653,175.0947628987085,177.21791076660156,43675600,0.0,0.0,,0.0,0.0,0.9393300390150516,176.74114990234375,186.7854995727539,1.418750954628191,-16.067698374416516,24.69728057447908,0
2023-08-15,176.6451282666605,177.2376229940336,174.8379899652799,175.2329864501953,43622600,0.0,0.0,,0.0,0.0,-1.1200472389161775,176.1353040422712,186.29996032714843,0.847975457128327,-0.12134922015953897,20.647242126285292,0
2023-08-16,174.9169842350172,176.30935657463468,174.29485048513217,174.36398315429688,46964900,0.0,0.0,,0.0,0.0,-0.4959130774989218,175.8476802280971,185.82260080973307,1.0656980153421143,7.661854176504845,20.938863767378948,0
2023-08-17,174.9268647491592,175.29223725703497,171.31258808782235,171.8260955810547,66062900,0.0,0.0,,0.0,0.0,-1.4555113546565246,175.06366620744978,185.24486541748047,1.6600205271036952,40.664411081467236,11.710541187986578,1
2023-08-18,170.14735612669347,172.9123770667114,169.8116075662743,172.30999755859375,61172200,0.0,0.0,,0.0,0.0,0.28162310032284754,174.57560076032365,184.72040659586588,1.9152873965899346,-7.403096140193666,11.30383879518618,1
2023-08-21,172.88272795365145,173.92948217703207,171.56934282132403,173.64309692382812,46311900,0.0,0.0,,0.0,0.0,0.7736633881507915,174.30897303989954,184.3084294637044,1.8933979581456082,-24.292570808308344,15.830909029885262,1
2023-08-22,174.8478727981476,175.46012191641384,174.04799506153495,175.0157470703125,42038900,0.0,0.0,,0.0,0.0,0.7905008438582106,174.22997392926897,183.95963033040366,1.8429398416246183,-9.22657027675392,21.959208612395685,1
